id,flight_number,airline,departure_airport,arrival_airport,scheduled_departure,scheduled_arrival,aircraft,price
2320,AA6663,American Airlines,JFK,SEA,2026-02-01T15:15:00,2026-02-01T17:48:32.209847,B737,334.1
2321,DL4556,Delta Air Lines,BOS,MIA,2026-02-01T21:45:00,2026-02-02T01:17:26.431497,A321,417.98
2322,WN4988,Southwest Airlines,MIA,SEA,2026-02-01T15:45:00,2026-02-01T19:15:17.452646,A321,998.9
2323,UA2096,United Airlines,DEN,JFK,2026-02-01T05:00:00,2026-02-01T08:17:02.289969,B737,613.75
2324,DL3602,Delta Air Lines,ORD,SFO,2026-02-01T07:00:00,2026-02-01T12:06:05.542965,B787,851.13
2325,B64105,JetBlue,BOS,JFK,2026-02-01T12:00:00,2026-02-01T14:32:03.184992,B737,186.06
2326,B61861,JetBlue,DFW,MIA,2026-02-01T07:15:00,2026-02-01T12:22:13.705609,B787,463.41
2327,UA8545,United Airlines,DEN,ATL,2026-02-01T07:15:00,2026-02-01T09:53:24.966047,A320,88.67
2328,WN3694,Southwest Airlines,SEA,DFW,2026-02-01T08:00:00,2026-02-01T11:03:52.019975,A321,692.54
2329,AA1774,American Airlines,LAX,BOS,2026-02-01T12:45:00,2026-02-01T18:52:41.562756,B787,194.38
2330,WN4185,Southwest Airlines,MIA,ATL,2026-02-01T15:15:00,2026-02-01T21:06:08.011242,B787,118.95
2331,B62423,JetBlue,DEN,SFO,2026-02-01T14:45:00,2026-02-01T17:48:02.420861,B737,536.96
2332,B62304,JetBlue,MIA,LAX,2026-02-01T18:45:00,2026-02-01T21:26:39.585233,B738,98.23
2333,WN9720,Southwest Airlines,ATL,DEN,2026-02-01T13:30:00,2026-02-01T16:50:27.877657,B738,125.46
2334,DL3153,Delta Air Lines,MIA,ATL,2026-02-01T05:30:00,2026-02-01T08:40:08.467262,B738,722.29
2335,AA2189,American Airlines,JFK,MIA,2026-02-01T07:30:00,2026-02-01T12:31:17.153682,B787,916.79
2336,WN6741,Southwest Airlines,ATL,ORD,2026-02-01T10:30:00,2026-02-01T13:46:17.721316,B738,336.84
2337,DL1235,Delta Air Lines,DFW,DEN,2026-02-01T18:00:00,2026-02-01T20:05:42.434055,A320,94.02
2338,B62999,JetBlue,JFK,DFW,2026-02-01T17:00:00,2026-02-01T19:38:39.621806,A320,343.83
2339,UA9676,United Airlines,ORD,DEN,2026-02-01T09:15:00,2026-02-01T11:50:12.131541,B737,458.19
2340,DL8479,Delta Air Lines,DFW,DEN,2026-02-01T19:45:00,2026-02-01T22:46:08.389266,A320,131.1
2341,AA9430,American Airlines,DEN,JFK,2026-02-01T13:15:00,2026-02-01T16:06:56.745112,A320,354.45
2342,B63225,JetBlue,SFO,ATL,2026-02-01T23:45:00,2026-02-02T02:42:22.583779,B738,637.77
2343,UA8855,United Airlines,JFK,SFO,2026-02-01T23:45:00,2026-02-02T02:23:19.231694,A320,379.94
2344,B61065,JetBlue,LAX,BOS,2026-02-01T18:45:00,2026-02-01T21:21:20.980104,A321,106.92
2345,DL4503,Delta Air Lines,ORD,DEN,2026-02-01T12:15:00,2026-02-01T15:21:08.851997,A321,429.84
2346,UA6868,United Airlines,DEN,BOS,2026-02-01T20:45:00,2026-02-01T23:28:00.971059,A320,382.93
2347,WN3043,Southwest Airlines,DEN,JFK,2026-02-01T15:45:00,2026-02-01T17:59:15.082324,A320,671.32
2348,DL9864,Delta Air Lines,ORD,ATL,2026-02-01T13:30:00,2026-02-01T16:57:30.541525,B738,942.57
2349,B69929,JetBlue,ORD,SFO,2026-02-01T12:30:00,2026-02-01T17:47:48.449069,B787,249.52
2350,WN6297,Southwest Airlines,DFW,DEN,2026-02-01T17:00:00,2026-02-01T22:30:45.706304,B787,454.99
2351,UA155,United Airlines,MIA,DEN,2026-02-01T21:45:00,2026-02-02T00:36:42.313861,B737,92.73
2352,B65980,JetBlue,DFW,MIA,2026-02-01T09:45:00,2026-02-01T12:05:47.888775,A320,621.8
2353,WN9156,Southwest Airlines,JFK,ATL,2026-02-01T22:00:00,2026-02-02T00:57:52.561798,B737,701.59
2354,WN4185,Southwest Airlines,DEN,ATL,2026-02-01T12:45:00,2026-02-01T15:30:07.010128,B737,522.48
2355,DL4902,Delta Air Lines,DEN,SFO,2026-02-01T11:45:00,2026-02-01T14:42:49.285971,B738,366.47
2356,UA2050,United Airlines,DFW,LAX,2026-02-01T07:45:00,2026-02-01T10:12:47.260318,B737,872.35
2357,DL7071,Delta Air Lines,SEA,LAX,2026-02-01T12:00:00,2026-02-01T14:50:55.748080,A321,451.98
2358,AA2869,American Airlines,SFO,ATL,2026-02-01T19:30:00,2026-02-01T23:11:08.218634,A321,672.74
2359,UA4025,United Airlines,DEN,BOS,2026-02-01T15:45:00,2026-02-01T18:10:53.750541,B737,875.43
2360,UA6258,United Airlines,MIA,SFO,2026-02-01T08:00:00,2026-02-01T10:43:50.412903,B738,819.12
2361,DL8970,Delta Air Lines,ORD,DFW,2026-02-02T10:00:00,2026-02-02T12:35:46.366462,B738,430.35
2362,B61773,JetBlue,BOS,DFW,2026-02-02T07:45:00,2026-02-02T10:14:22.828736,B738,305.58
2363,AA602,American Airlines,DFW,SFO,2026-02-02T11:15:00,2026-02-02T14:56:41.186888,A321,647.36
2364,UA2879,United Airlines,DEN,ORD,2026-02-02T22:00:00,2026-02-03T00:26:09.494909,B738,225.57
2365,WN154,Southwest Airlines,DEN,ATL,2026-02-02T20:15:00,2026-02-02T22:47:51.978111,B737,414.68
2366,WN9161,Southwest Airlines,DEN,SFO,2026-02-02T16:15:00,2026-02-02T19:03:40.326569,A321,514.97
2367,DL1022,Delta Air Lines,DEN,MIA,2026-02-02T12:30:00,2026-02-02T16:10:51.821980,A321,215.21
2368,UA705,United Airlines,DFW,ORD,2026-02-02T23:15:00,2026-02-03T02:16:21.762334,A321,871.05
2369,UA4837,United Airlines,DEN,ATL,2026-02-02T23:30:00,2026-02-03T02:24:35.146209,A320,726.78
2370,DL3799,Delta Air Lines,JFK,DFW,2026-02-02T18:00:00,2026-02-02T20:42:34.851804,A320,720.5
2371,AA4037,American Airlines,JFK,ORD,2026-02-02T20:15:00,2026-02-02T22:39:15.155613,B738,856.84
2372,WN507,Southwest Airlines,DEN,JFK,2026-02-02T14:15:00,2026-02-02T19:52:50.789503,B787,797.23
2373,WN5601,Southwest Airlines,JFK,SEA,2026-02-02T06:00:00,2026-02-02T08:21:16.285668,B738,142.92
2374,DL6741,Delta Air Lines,SEA,SFO,2026-02-02T15:00:00,2026-02-02T18:06:33.128858,B737,442.53
2375,UA5727,United Airlines,DEN,BOS,2026-02-02T19:30:00,2026-02-02T22:23:30.062991,B737,605.35
2376,DL2647,Delta Air Lines,MIA,DFW,2026-02-02T18:45:00,2026-02-02T22:17:37.213656,A321,296.69
2377,WN6079,Southwest Airlines,DFW,JFK,2026-02-02T11:30:00,2026-02-02T13:38:34.170486,B737,960.64
2378,DL9041,Delta Air Lines,DFW,SEA,2026-02-02T11:15:00,2026-02-02T17:28:54.559181,B787,179.42
2379,AA9575,American Airlines,DEN,ATL,2026-02-02T12:45:00,2026-02-02T14:59:11.000296,A320,726.51
2380,DL8571,Delta Air Lines,DEN,MIA,2026-02-02T23:00:00,2026-02-03T01:47:10.517200,A320,586.65
2381,UA8552,United Airlines,JFK,SEA,2026-02-02T06:15:00,2026-02-02T08:54:18.622101,B738,695.99
2382,DL7225,Delta Air Lines,SFO,ORD,2026-02-02T09:45:00,2026-02-02T12:18:29.466762,A321,336.11
2383,AA4265,American Airlines,ATL,JFK,2026-02-02T18:15:00,2026-02-02T21:44:13.726514,A321,470.22
2384,B65354,JetBlue,DEN,SEA,2026-02-02T14:45:00,2026-02-02T17:12:16.499376,B738,912.45
2385,B64320,JetBlue,SEA,ATL,2026-02-02T18:00:00,2026-02-02T20:18:01.191717,B737,703.84
2386,WN6130,Southwest Airlines,MIA,SFO,2026-02-02T20:15:00,2026-02-03T02:29:00.149904,B787,120.01
2387,WN5197,Southwest Airlines,DEN,MIA,2026-02-02T09:00:00,2026-02-02T11:06:58.591567,A320,157.46
2388,WN6549,Southwest Airlines,DFW,BOS,2026-02-02T15:30:00,2026-02-02T18:47:40.066288,A321,414.65
2389,UA2010,United Airlines,LAX,DFW,2026-02-02T11:00:00,2026-02-02T16:21:16.953828,B787,770.46
2390,B65946,JetBlue,JFK,LAX,2026-02-02T17:00:00,2026-02-02T23:01:29.991137,B787,394.45
2391,UA7858,United Airlines,SEA,ATL,2026-02-02T19:30:00,2026-02-02T22:30:48.816219,B737,628.49
2392,B63940,JetBlue,JFK,ATL,2026-02-02T12:45:00,2026-02-02T16:10:16.629972,B738,589.69
2393,AA9395,American Airlines,SFO,ATL,2026-02-02T07:00:00,2026-02-02T10:02:13.654189,A321,167.13
2394,WN1233,Southwest Airlines,ATL,SEA,2026-02-02T06:45:00,2026-02-02T12:04:43.520463,B787,658.73
2395,B6944,JetBlue,SEA,LAX,2026-02-02T13:00:00,2026-02-02T15:29:39.239064,B737,963.17
2396,AA3837,American Airlines,LAX,ATL,2026-02-02T15:45:00,2026-02-02T18:50:39.314895,B737,664.89
2397,DL4875,Delta Air Lines,SEA,ATL,2026-02-02T07:45:00,2026-02-02T13:47:22.074692,B787,341.56
2398,B68302,JetBlue,ATL,SEA,2026-02-02T20:30:00,2026-02-02T22:47:31.020938,B738,293.64
2399,B62897,JetBlue,SFO,ORD,2026-02-02T13:45:00,2026-02-02T16:51:40.586866,A321,756.75
2400,B64641,JetBlue,MIA,DEN,2026-02-02T18:00:00,2026-02-02T21:15:33.803010,A321,97.74
2401,B62403,JetBlue,DEN,BOS,2026-02-02T16:30:00,2026-02-02T19:36:59.106437,A320,56.44
2402,B66910,JetBlue,LAX,MIA,2026-02-02T15:00:00,2026-02-02T17:02:43.332639,B737,205.7
2403,B66362,JetBlue,DFW,MIA,2026-02-02T09:45:00,2026-02-02T12:21:02.206357,B738,116.55
2404,UA8803,United Airlines,JFK,BOS,2026-02-02T18:45:00,2026-02-02T21:48:18.675464,B738,137.72
2405,WN9678,Southwest Airlines,DFW,SFO,2026-02-02T11:00:00,2026-02-02T16:17:36.742497,B787,402.32
2406,WN9209,Southwest Airlines,LAX,BOS,2026-02-02T11:45:00,2026-02-02T18:01:43.775924,B787,145.77
2407,UA8832,United Airlines,SFO,SEA,2026-02-02T13:00:00,2026-02-02T15:19:54.199261,A320,887.91
2408,WN2258,Southwest Airlines,DFW,BOS,2026-02-02T10:45:00,2026-02-02T13:18:05.846822,B737,529.75
2409,DL8969,Delta Air Lines,ATL,JFK,2026-02-02T16:30:00,2026-02-02T19:32:57.289300,A321,768.55
2410,DL4760,Delta Air Lines,ORD,LAX,2026-02-02T20:00:00,2026-02-02T22:50:28.358129,A320,517.94
2411,AA2953,American Airlines,BOS,DEN,2026-02-02T07:15:00,2026-02-02T10:24:01.594539,A320,691.63
2412,WN4936,Southwest Airlines,LAX,ORD,2026-02-02T13:15:00,2026-02-02T16:24:24.374812,A321,259.6
2413,WN3749,Southwest Airlines,DEN,ORD,2026-02-02T06:15:00,2026-02-02T09:23:22.695973,B738,133.54
2414,DL237,Delta Air Lines,DEN,JFK,2026-02-02T07:30:00,2026-02-02T10:47:53.855937,B737,263.89
2415,B65145,JetBlue,JFK,ATL,2026-02-02T23:45:00,2026-02-03T05:01:41.052358,B787,456.35
2416,B68124,JetBlue,DEN,ORD,2026-02-02T15:00:00,2026-02-02T18:41:34.533336,A321,612.63
2417,B6868,JetBlue,DEN,ORD,2026-02-02T10:00:00,2026-02-02T16:16:23.879466,B787,762.41
2418,DL9922,Delta Air Lines,MIA,BOS,2026-02-03T15:45:00,2026-02-03T18:17:33.692696,B737,588.15
2419,UA9259,United Airlines,LAX,SEA,2026-02-03T22:45:00,2026-02-04T04:12:07.556326,B787,816.42
2420,DL8733,Delta Air Lines,SFO,LAX,2026-02-03T07:00:00,2026-02-03T09:24:39.517316,B737,126.17
2421,WN7173,Southwest Airlines,ATL,DEN,2026-02-03T05:15:00,2026-02-03T10:42:31.206222,B787,506.05
2422,DL9719,Delta Air Lines,SEA,BOS,2026-02-03T13:15:00,2026-02-03T16:10:46.867036,B738,213.98
2423,B63440,JetBlue,JFK,ORD,2026-02-03T07:15:00,2026-02-03T09:26:27.712285,B737,383.92
2424,WN4214,Southwest Airlines,DEN,LAX,2026-02-03T23:15:00,2026-02-04T05:18:10.760251,B787,572.79
2425,UA9616,United Airlines,BOS,SFO,2026-02-03T13:15:00,2026-02-03T16:19:13.381238,B737,87.22
2426,WN409,Southwest Airlines,ATL,MIA,2026-02-03T06:45:00,2026-02-03T09:51:01.674961,B738,535.01
2427,AA3206,American Airlines,SFO,DEN,2026-02-03T22:30:00,2026-02-04T01:19:42.548183,A320,335.73
2428,AA6795,American Airlines,BOS,JFK,2026-02-03T15:45:00,2026-02-03T18:12:36.476432,B737,180.07
2429,UA2353,United Airlines,JFK,ORD,2026-02-03T11:00:00,2026-02-03T14:17:29.867299,B738,491.36
2430,B66992,JetBlue,DFW,DEN,2026-02-03T22:15:00,2026-02-04T00:57:59.643081,B737,890.21
2431,B63591,JetBlue,JFK,DEN,2026-02-03T18:45:00,2026-02-03T22:00:41.922082,A321,565.85
2432,UA350,United Airlines,SEA,ORD,2026-02-03T17:45:00,2026-02-03T23:17:16.799691,B787,672.23
2433,DL9199,Delta Air Lines,MIA,SFO,2026-02-03T07:00:00,2026-02-03T09:04:25.778882,B737,835.83
2434,UA8161,United Airlines,ORD,ATL,2026-02-03T06:15:00,2026-02-03T09:21:57.205737,A320,427.61
2435,WN8202,Southwest Airlines,SFO,DEN,2026-02-03T16:45:00,2026-02-03T19:31:03.951248,A320,908.02
2436,UA8236,United Airlines,SFO,DFW,2026-02-03T23:00:00,2026-02-04T01:57:06.767161,B738,713.91
2437,B63264,JetBlue,SEA,DFW,2026-02-03T22:30:00,2026-02-04T00:39:30.213067,A320,656.67
2438,UA8299,United Airlines,ORD,DEN,2026-02-03T20:30:00,2026-02-03T23:32:25.344889,A320,65.05
2439,B65474,JetBlue,DEN,SEA,2026-02-03T05:15:00,2026-02-03T08:02:14.954507,A320,899.37
2440,AA7131,American Airlines,BOS,SFO,2026-02-03T22:30:00,2026-02-04T01:19:06.050944,A320,150.06
2441,WN5121,Southwest Airlines,LAX,ORD,2026-02-03T22:15:00,2026-02-04T00:50:42.481663,A321,887.9
2442,AA7041,American Airlines,SFO,ATL,2026-02-03T12:45:00,2026-02-03T18:32:11.471099,B787,875.03
2443,B68302,JetBlue,LAX,ATL,2026-02-03T21:30:00,2026-02-04T02:31:50.796636,B787,290.48
2444,B68132,JetBlue,JFK,SFO,2026-02-03T22:45:00,2026-02-04T01:54:34.600562,A321,916.59
2445,AA2354,American Airlines,MIA,SEA,2026-02-03T17:45:00,2026-02-03T20:32:01.174644,A321,595.2
2446,UA6861,United Airlines,DEN,ATL,2026-02-03T15:00:00,2026-02-03T18:17:03.349069,A320,936.89
2447,UA6048,United Airlines,ORD,SEA,2026-02-03T18:15:00,2026-02-03T21:28:37.213199,A320,475.62
2448,DL7339,Delta Air Lines,JFK,MIA,2026-02-03T07:45:00,2026-02-03T09:57:54.220763,B738,856.5
2449,DL390,Delta Air Lines,DFW,DEN,2026-02-03T15:15:00,2026-02-03T17:51:02.043223,B737,833.51
2450,UA3249,United Airlines,JFK,ORD,2026-02-03T08:00:00,2026-02-03T10:33:41.814643,A320,699.66
2451,UA2828,United Airlines,ATL,BOS,2026-02-03T17:45:00,2026-02-03T20:14:30.577713,B738,484.53
2452,UA6321,United Airlines,BOS,LAX,2026-02-03T05:30:00,2026-02-03T08:51:47.023340,B738,924.68
2453,B64627,JetBlue,ORD,MIA,2026-02-03T05:00:00,2026-02-03T07:38:59.311951,B737,509.78
2454,UA5423,United Airlines,LAX,SFO,2026-02-03T21:30:00,2026-02-04T02:30:50.852796,B787,182.3
2455,DL5098,Delta Air Lines,BOS,LAX,2026-02-03T18:30:00,2026-02-03T20:44:54.201566,B738,869.05
2456,B61466,JetBlue,SEA,ATL,2026-02-03T14:30:00,2026-02-03T16:48:30.545781,A320,695.45
2457,B63929,JetBlue,SFO,LAX,2026-02-03T13:30:00,2026-02-03T15:44:03.401681,B737,501.89
2458,B62700,JetBlue,ATL,LAX,2026-02-03T06:00:00,2026-02-03T08:14:28.849622,B738,377.64
2459,DL6412,Delta Air Lines,DEN,LAX,2026-02-03T11:15:00,2026-02-03T13:58:29.705033,B737,912.06
2460,UA311,United Airlines,ATL,DFW,2026-02-03T18:30:00,2026-02-04T00:27:31.433667,B787,247.18
2461,B66568,JetBlue,SEA,SFO,2026-02-03T16:30:00,2026-02-03T18:30:35.353268,A320,642.41
2462,AA2991,American Airlines,SEA,ATL,2026-02-03T20:45:00,2026-02-04T02:20:09.101245,B787,310.31
2463,DL6971,Delta Air Lines,LAX,DFW,2026-02-03T23:30:00,2026-02-04T02:09:37.932339,A320,609.6
2464,DL1526,Delta Air Lines,LAX,MIA,2026-02-03T10:30:00,2026-02-03T13:50:24.474410,B738,479.83
2465,WN7814,Southwest Airlines,SFO,DFW,2026-02-03T20:15:00,2026-02-03T22:40:55.456892,B738,337.13
2466,AA1580,American Airlines,LAX,MIA,2026-02-03T16:15:00,2026-02-03T18:36:28.484082,B738,124.83
2467,AA903,American Airlines,SFO,DFW,2026-02-04T08:15:00,2026-02-04T10:44:34.852921,A320,375.89
2468,AA7679,American Airlines,BOS,SFO,2026-02-04T18:15:00,2026-02-04T21:01:45.400413,B738,264.15
2469,UA7720,United Airlines,DEN,JFK,2026-02-04T23:00:00,2026-02-05T02:27:46.423641,A321,464.07
2470,AA5925,American Airlines,DFW,SFO,2026-02-04T06:00:00,2026-02-04T12:16:31.416630,B787,567.12
2471,DL5602,Delta Air Lines,JFK,MIA,2026-02-04T10:15:00,2026-02-04T13:00:26.426447,B738,442.2
2472,AA8262,American Airlines,BOS,SEA,2026-02-04T11:30:00,2026-02-04T15:15:56.923241,A321,78.95
2473,DL8362,Delta Air Lines,DEN,BOS,2026-02-04T06:30:00,2026-02-04T09:01:13.215063,B738,190.39
2474,DL754,Delta Air Lines,DFW,BOS,2026-02-04T09:15:00,2026-02-04T11:57:33.122135,B737,448.06
2475,WN7981,Southwest Airlines,MIA,LAX,2026-02-04T12:45:00,2026-02-04T15:40:24.981720,A321,425.11
2476,AA6145,American Airlines,LAX,SFO,2026-02-04T20:30:00,2026-02-04T23:27:39.337800,A320,793.87
2477,DL8873,Delta Air Lines,DEN,SFO,2026-02-04T05:30:00,2026-02-04T08:17:19.014035,A320,793.87
2478,B6499,JetBlue,MIA,ATL,2026-02-04T17:30:00,2026-02-04T20:48:31.542527,A321,898.42
2479,AA4410,American Airlines,LAX,BOS,2026-02-04T21:00:00,2026-02-04T23:14:35.622395,A320,189.97
2480,DL3264,Delta Air Lines,SEA,MIA,2026-02-04T10:45:00,2026-02-04T12:53:28.783573,A320,922.02
2481,UA7559,United Airlines,ATL,DEN,2026-02-04T13:30:00,2026-02-04T16:22:54.323761,B737,887.35
2482,AA9834,American Airlines,ATL,SEA,2026-02-04T19:00:00,2026-02-05T01:02:47.565524,B787,155.07
2483,WN5045,Southwest Airlines,JFK,ORD,2026-02-04T19:45:00,2026-02-04T22:09:53.268082,B737,753.73
2484,AA1939,American Airlines,ATL,BOS,2026-02-04T18:15:00,2026-02-04T21:11:51.277158,B737,193.48
2485,UA5299,United Airlines,BOS,DFW,2026-02-04T11:00:00,2026-02-04T13:58:31.964207,A320,234.67
2486,UA2575,United Airlines,ORD,DEN,2026-02-04T17:00:00,2026-02-04T20:09:56.903114,B737,921.31
2487,WN3586,Southwest Airlines,LAX,DFW,2026-02-04T10:15:00,2026-02-04T15:53:14.290211,B787,412.5
2488,DL398,Delta Air Lines,LAX,BOS,2026-02-04T22:00:00,2026-02-05T00:56:32.939143,A320,501.06
2489,B63448,JetBlue,DFW,DEN,2026-02-04T11:00:00,2026-02-04T17:03:32.414369,B787,614.91
2490,DL9633,Delta Air Lines,SFO,ATL,2026-02-04T13:30:00,2026-02-04T16:00:11.634899,B737,889.43
2491,B66187,JetBlue,SFO,LAX,2026-02-04T19:00:00,2026-02-04T21:00:13.203667,B737,308.56
2492,WN1411,Southwest Airlines,ATL,ORD,2026-02-04T06:30:00,2026-02-04T09:25:45.172173,B738,317.4
2493,DL2012,Delta Air Lines,SFO,DFW,2026-02-04T21:45:00,2026-02-05T03:49:32.630895,B787,462.26
2494,WN1169,Southwest Airlines,MIA,ORD,2026-02-04T23:30:00,2026-02-05T05:08:05.236419,B787,364.78
2495,DL5302,Delta Air Lines,ATL,ORD,2026-02-04T13:15:00,2026-02-04T16:16:12.587740,B738,277.43
2496,DL7831,Delta Air Lines,ATL,LAX,2026-02-04T21:45:00,2026-02-05T01:01:18.926349,B737,413.32
2497,WN2748,Southwest Airlines,DEN,LAX,2026-02-04T06:30:00,2026-02-04T08:47:58.573964,B737,587.88
2498,DL1327,Delta Air Lines,SFO,SEA,2026-02-04T12:15:00,2026-02-04T17:50:26.394187,B787,51.93
2499,UA2803,United Airlines,LAX,ORD,2026-02-04T19:45:00,2026-02-04T22:01:41.873308,B738,217.6
2500,UA1119,United Airlines,ORD,JFK,2026-02-04T16:00:00,2026-02-04T21:25:32.127180,B787,235.84
2501,B6870,JetBlue,DEN,ATL,2026-02-04T07:15:00,2026-02-04T09:49:31.097775,A321,123.21
2502,UA4893,United Airlines,BOS,DEN,2026-02-04T22:00:00,2026-02-05T01:05:51.250518,A321,975.44
2503,UA6185,United Airlines,DEN,ORD,2026-02-04T23:00:00,2026-02-05T01:52:57.115704,B738,767.31
2504,DL4466,Delta Air Lines,BOS,DFW,2026-02-04T21:30:00,2026-02-05T03:01:53.841249,B787,885.61
2505,AA9292,American Airlines,SFO,ORD,2026-02-04T18:45:00,2026-02-04T21:50:28.536434,A320,155.56
2506,UA1492,United Airlines,LAX,ATL,2026-02-04T22:30:00,2026-02-05T04:06:15.663479,B787,97.6
2507,UA1213,United Airlines,BOS,DEN,2026-02-04T21:00:00,2026-02-04T23:50:22.526809,A320,513.15
2508,B66153,JetBlue,DEN,BOS,2026-02-04T06:30:00,2026-02-04T11:45:45.436523,B787,680.95
2509,B62998,JetBlue,JFK,SEA,2026-02-04T09:15:00,2026-02-04T12:22:00.783226,B738,826.17
2510,AA3083,American Airlines,ATL,DEN,2026-02-04T12:15:00,2026-02-04T14:32:40.420605,B738,684.07
2511,B66241,JetBlue,DEN,SFO,2026-02-04T21:00:00,2026-02-05T00:06:29.002709,B737,940.64
2512,AA1654,American Airlines,BOS,ATL,2026-02-04T21:30:00,2026-02-04T23:57:24.341049,B737,822.09
2513,DL8760,Delta Air Lines,JFK,SEA,2026-02-04T09:30:00,2026-02-04T12:14:16.659546,B738,228.86
2514,AA9810,American Airlines,ATL,SEA,2026-02-04T08:30:00,2026-02-04T11:31:02.188356,B737,188.09
2515,UA6887,United Airlines,JFK,DFW,2026-02-04T19:45:00,2026-02-04T22:33:39.158148,B738,301.63
2516,B62709,JetBlue,ORD,SFO,2026-02-04T09:30:00,2026-02-04T15:37:39.733654,B787,392.49
2517,B63860,JetBlue,ORD,DFW,2026-02-04T07:00:00,2026-02-04T10:36:23.135127,A321,424.45
2518,WN6349,Southwest Airlines,BOS,ATL,2026-02-05T15:15:00,2026-02-05T17:51:42.977204,B737,165.78
2519,AA2835,American Airlines,JFK,ATL,2026-02-05T14:45:00,2026-02-05T17:13:47.837920,B738,812.32
2520,WN7125,Southwest Airlines,JFK,SFO,2026-02-05T22:00:00,2026-02-06T01:11:50.068402,A320,232.28
2521,B62926,JetBlue,SEA,JFK,2026-02-05T15:15:00,2026-02-05T17:46:05.755155,B738,491.82
2522,AA6373,American Airlines,DFW,DEN,2026-02-05T23:30:00,2026-02-06T01:50:20.567434,B738,96.39
2523,WN7478,Southwest Airlines,MIA,SEA,2026-02-05T07:00:00,2026-02-05T09:34:24.921366,B738,107.67
2524,DL6074,Delta Air Lines,LAX,SEA,2026-02-05T22:15:00,2026-02-06T00:23:56.870474,B737,373.96
2525,B6373,JetBlue,SFO,ORD,2026-02-05T22:45:00,2026-02-06T00:51:30.896909,A320,664.8
2526,AA6543,American Airlines,ATL,SFO,2026-02-05T09:15:00,2026-02-05T11:59:04.802579,A321,825.34
2527,UA2243,United Airlines,ATL,DFW,2026-02-05T06:15:00,2026-02-05T09:32:12.737292,B738,245.12
2528,AA253,American Airlines,DEN,ATL,2026-02-05T09:45:00,2026-02-05T12:51:59.897146,A321,261.51
2529,AA2724,American Airlines,LAX,DEN,2026-02-05T16:15:00,2026-02-05T19:13:30.784141,A320,200.37
2530,WN7680,Southwest Airlines,SFO,LAX,2026-02-05T12:15:00,2026-02-05T18:14:59.675391,B787,567.2
2531,UA2934,United Airlines,ORD,DFW,2026-02-05T20:15:00,2026-02-05T23:11:47.043017,B738,304.54
2532,AA4027,American Airlines,SEA,ATL,2026-02-05T15:45:00,2026-02-05T21:01:36.829247,B787,974.06
2533,B61328,JetBlue,DFW,ATL,2026-02-05T20:00:00,2026-02-05T22:56:32.343507,B737,95.61
2534,B66152,JetBlue,ORD,LAX,2026-02-05T07:00:00,2026-02-05T09:33:37.424842,A320,907.29
2535,UA9909,United Airlines,JFK,DFW,2026-02-05T23:45:00,2026-02-06T02:24:48.727414,A320,556.19
2536,B63323,JetBlue,JFK,ATL,2026-02-05T18:30:00,2026-02-05T21:08:33.058475,A320,84.57
2537,UA7807,United Airlines,DFW,SEA,2026-02-05T23:00:00,2026-02-06T01:00:17.104373,B737,365.53
2538,WN8472,Southwest Airlines,MIA,DFW,2026-02-05T17:15:00,2026-02-05T20:33:54.092157,A321,977.56
2539,DL3766,Delta Air Lines,DFW,BOS,2026-02-05T05:45:00,2026-02-05T08:31:05.113185,A320,929.29
2540,B68445,JetBlue,MIA,DEN,2026-02-05T09:30:00,2026-02-05T12:20:55.400005,A321,998.39
2541,DL4508,Delta Air Lines,JFK,ORD,2026-02-05T23:45:00,2026-02-06T02:17:03.123049,B738,661.96
2542,UA8286,United Airlines,ATL,MIA,2026-02-05T19:15:00,2026-02-05T22:17:44.291964,B737,947.49
2543,AA5713,American Airlines,ORD,LAX,2026-02-05T19:00:00,2026-02-05T22:09:15.840927,A321,147.58
2544,AA7660,American Airlines,DFW,DEN,2026-02-05T17:15:00,2026-02-05T23:03:29.460642,B787,632.28
2545,DL6624,Delta Air Lines,SFO,SEA,2026-02-05T08:45:00,2026-02-05T11:44:38.395816,A320,734.94
2546,B62026,JetBlue,JFK,DFW,2026-02-05T08:00:00,2026-02-05T10:16:40.577026,B738,426.6
2547,UA2882,United Airlines,DFW,SFO,2026-02-05T22:30:00,2026-02-06T04:38:31.203163,B787,409.47
2548,AA5531,American Airlines,SEA,LAX,2026-02-05T22:00:00,2026-02-06T00:47:54.347422,A320,651.04
2549,DL1764,Delta Air Lines,BOS,SFO,2026-02-05T17:30:00,2026-02-05T20:18:22.276192,B738,986.8
2550,WN4605,Southwest Airlines,JFK,MIA,2026-02-05T13:45:00,2026-02-05T18:50:30.898714,B787,559.07
2551,DL3842,Delta Air Lines,LAX,BOS,2026-02-05T17:00:00,2026-02-05T19:36:25.418238,A320,182.72
2552,AA796,American Airlines,DEN,ATL,2026-02-05T21:00:00,2026-02-05T23:31:03.576051,A321,835.16
2553,AA4937,American Airlines,DEN,ATL,2026-02-05T13:00:00,2026-02-05T15:27:20.056668,B737,802.69
2554,WN3067,Southwest Airlines,ATL,LAX,2026-02-05T10:45:00,2026-02-05T15:48:47.979507,B787,934.39
2555,AA3571,American Airlines,ORD,DEN,2026-02-05T20:30:00,2026-02-05T23:47:46.536683,B738,136.83
